business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,neighborhoods,sf_find_neighborhoods,current_police_districts,current_supervisor_districts,analysis_neighborhoods
4844,Safeway #909,730 TARAVAL,San Francisco,CA,94116,37.743191,-122.473903,POINT (-122.473903 37.743191),Unknown,4844_20180717,2018-07-17,94.0,Routine - Unscheduled,4844_20180717_103120,Moderate risk food holding temperature,Moderate Risk,44.0,44.0,10.0,8.0,41.0
2519,Pacific Plaza Cafe,1340 FRANKLIN St,San Francisco,CA,94109,37.786864,-122.423218,POINT (-122.423218 37.786864),Unknown,2519_20190709,2019-07-09,90.0,Routine - Unscheduled,2519_20190709_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,100.0,100.0,4.0,6.0,39.0
6636,Starbucks,1390 MARKET St,San Francisco,CA,94102,37.777053,-122.416939,POINT (-122.416939 37.777053),Unknown,6636_20190508,2019-05-08,88.0,Routine - Unscheduled,6636_20190508_103143,Inadequate warewashing facilities or equipment,Low Risk,21.0,21.0,5.0,10.0,36.0
6718,General Nutrition #302,576 Market St,San Francisco,CA,94104,37.789353,-122.401309,POINT (-122.401309 37.789353),Unknown,6718_20180606,2018-06-06,87.0,Routine - Unscheduled,6718_20180606_103138,Improper storage use or identification of toxic substances,Low Risk,108.0,108.0,6.0,10.0,8.0
61187,The Deli Lama,150 TOLAND St #7,San Francisco,CA,94124,37.746322,-122.396793,POINT (-122.396793 37.746322),Unknown,61187_20190307,2019-03-07,92.0,Routine - Unscheduled,61187_20190307_103142,Unclean nonfood contact surfaces,Low Risk,85.0,85.0,2.0,9.0,1.0
985,The Sunset'S Best Seafood Restaurant,3060 TARAVAL St,San Francisco,CA,94116,37.742048,-122.499002,POINT (-122.499002 37.742048),Unknown,985_20180924,2018-09-24,75.0,Routine - Unscheduled,985_20180924_103114,High risk vermin infestation,High Risk,39.0,39.0,10.0,7.0,35.0
286,Punjab Kabab House,101 EDDY St,San Francisco,CA,94102,37.784303,-122.409647,POINT (-122.409647 37.784303),Unknown,286_20161102,2016-11-02,82.0,Routine - Unscheduled,286_20161102_103145,Improper storage of equipment utensils or linens,Low Risk,20.0,20.0,5.0,10.0,36.0
63576,Angkor Borei Restaurant,3471 MISSION St,San Francisco,CA,94110,37.741333,-122.422603,POINT (-122.422603 37.741333),Unknown,63576_20170815,2017-08-15,92.0,Routine - Unscheduled,63576_20170815_103154,Unclean or degraded floors walls or ceilings,Low Risk,83.0,83.0,9.0,2.0,2.0
33442,Miller'S East Coast Deli,1725 Polk St,San Francisco,CA,94109,37.792784,-122.421164,POINT (-122.421164 37.792784),Unknown,33442_20180131,2018-01-31,87.0,Routine - Unscheduled,33442_20180131_103114,High risk vermin infestation,High Risk,105.0,105.0,4.0,3.0,32.0
5802,Lowell High School,1101 EUCALYPTUS Dr,San Francisco,CA,94132,37.731027,-122.483578,POINT (-122.483578 37.731027),14155752748.0,5802_20190926,2019-09-26,96.0,Routine - Unscheduled,5802_20190926_103129,Insufficient hot water or running water,Moderate Risk,43.0,43.0,10.0,8.0,16.0
16329,Oscar Burger & Deli,1850 Cesar Chavez St,San Francisco,CA,94124,37.749798,-122.395962,POINT (-122.395962 37.749798),14155209845.0,16329_20170727,2017-07-27,83.0,Routine - Unscheduled,16329_20170727_103114,High risk vermin infestation,High Risk,54.0,54.0,2.0,9.0,1.0
57630,The Dry Dock,2118 Greenwich St,San Francisco,CA,94123,37.799048,-122.435353,POINT (-122.435353 37.799048),Unknown,57630_20190430,2019-04-30,98.0,Routine - Unscheduled,57630_20190430_103156,Permit license or inspection report not posted,Low Risk,15.0,15.0,4.0,6.0,13.0
3858,Hunan Restaurant,110 NATOMA St,San Francisco,CA,94105,37.786944,-122.399199,POINT (-122.399199 37.786944),Unknown,3858_20180501,2018-05-01,92.0,Routine - Unscheduled,3858_20180501_103154,Unclean or degraded floors walls or ceilings,Low Risk,32.0,32.0,1.0,10.0,8.0
2689,The Blue Plate,3218 MISSION St,San Francisco,CA,94110,37.745158,-122.420217,POINT (-122.420217 37.745158),14155286777.0,2689_20190423,2019-04-23,94.0,Routine - Unscheduled,2689_20190423_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,83.0,83.0,9.0,2.0,2.0
7645,Lucky Pork Market,2659 MISSION St,San Francisco,CA,94110,37.754513,-122.418626,POINT (-122.418626 37.754513),14155644805.0,7645_20170728,2017-07-28,87.0,Complaint,7645_20170728_103144,Unapproved or unmaintained equipment or utensils,Low Risk,53.0,53.0,3.0,2.0,20.0
5521,At&T - (J-2A) Ben & Jerry'S,24 Willie Mays Pl,San Francisco,CA,94107,None,None,None,Unknown,5521_20180928,2018-09-28,87.0,Routine - Unscheduled,5521_20180928_103139,Improper food storage,Low Risk,,,,,
36473,Maggie Cafe,848 Grant Ave,San Francisco,CA,94108,37.794898,-122.406356,POINT (-122.406356 37.794898),Unknown,36473_20181206,2018-12-06,92.0,Routine - Unscheduled,36473_20181206_103161,Low risk vermin infestation,Low Risk,104.0,104.0,6.0,3.0,6.0
25161,Westin St Francis - Main Kitchen,335 Powell St 2nd Floor,San Francisco,CA,94102,37.7877,-122.408345,POINT (-122.408345 37.7877),Unknown,25161_20180423,2018-04-23,94.0,Routine - Unscheduled,25161_20180423_103131,Moderate risk vermin infestation,Moderate Risk,19.0,19.0,6.0,3.0,36.0
4623,Yo Yo'S,318 Pacific Ave,San Francisco,CA,94111,37.797668,-122.401134,POINT (-122.401134 37.797668),Unknown,4623_20190712,2019-07-12,98.0,Routine - Unscheduled,4623_20190712_103145,Improper storage of equipment utensils or linens,Low Risk,106.0,106.0,6.0,3.0,8.0
35852,Beach Street Grill,380 Beach St,San Francisco,CA,94133,37.807358,-122.415294,POINT (-122.415294 37.807358),Unknown,35852_20190904,2019-09-04,90.0,Routine - Unscheduled,35852_20190904_103142,Unclean nonfood contact surfaces,Low Risk,99.0,99.0,6.0,3.0,23.0
2109,Anh Hong Phu-Nhuan Restaurant,808 GEARY St,San Francisco,CA,94109,37.786354,-122.416628,POINT (-122.416628 37.786354),Unknown,2109_20180201,2018-02-01,90.0,Routine - Unscheduled,2109_20180201_103142,Unclean nonfood contact surfaces,Low Risk,50.0,50.0,6.0,10.0,36.0
8202,Xiao Loong,250 WEST PORTAL AVENUE,San Francisco,CA,Unknown,37.738616,-122.468775,POINT (-122.468775 37.738616),14155272647.0,8202_20180131,2018-01-31,84.0,Routine - Unscheduled,8202_20180131_103132,Improper thawing methods,Moderate Risk,46.0,46.0,10.0,8.0,41.0
62277,Tacos San Buena,16th & Shotwell St,San Francisco,CA,94102,37.779847,-122.418985,POINT (-122.418985 37.779847),14155556127.0,62277_20180221,2018-02-21,87.0,Routine - Unscheduled,62277_20180221_103144,Unapproved or unmaintained equipment or utensils,Low Risk,21.0,21.0,4.0,10.0,36.0
9679,Eastern Bakery Inc,720 Grant Ave,San Francisco,CA,94108,37.793598,-122.406097,POINT (-122.406097 37.793598),Unknown,9679_20180608,2018-06-08,63.0,Routine - Unscheduled,9679_20180608_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,104.0,104.0,6.0,3.0,6.0
539,El Salvador Restaurant,2278 MISSION St,San Francisco,CA,94110,37.760579,-122.41932,POINT (-122.41932 37.760579),Unknown,539_20190516,2019-05-16,88.0,Routine - Unscheduled,539_20190516_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53.0,53.0,3.0,2.0,20.0
22606,Canyon Market,2815 Diamond St,San Francisco,CA,94131,37.734072,-122.433948,POINT (-122.433948 37.734072),Unknown,22606_20170308,2017-03-08,90.0,Routine - Unscheduled,22606_20170308_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,96.0,96.0,9.0,5.0,10.0
36673,Mid City Market,868 Geary St,San Francisco,CA,94109,37.786197,-122.417614,POINT (-122.417614 37.786197),Unknown,36673_20171113,2017-11-13,90.0,Routine - Unscheduled,36673_20171113_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,50.0,50.0,6.0,10.0,36.0
63897,Bob'S Donuts And Pastries,1621 Polk St,San Francisco,CA,94109,37.791914,-122.420984,POINT (-122.420984 37.791914),14155773141.0,63897_20180319,2018-03-19,90.0,Routine - Unscheduled,63897_20180319_103133,Foods not protected from contamination,Moderate Risk,105.0,105.0,4.0,3.0,21.0
5902,Galileo High School,1150 Francisco St,San Francisco,CA,94109,37.803347,-122.424084,POINT (-122.424084 37.803347),Unknown,5902_20180215,2018-02-15,93.0,Routine - Unscheduled,5902_20180215_103103,High risk food holding temperature,High Risk,107.0,107.0,4.0,6.0,32.0
34353,The Olympic Club Bar/Grill,524 Post St 1st Floor,San Francisco,CA,94102,37.787978,-122.410904,POINT (-122.410904 37.787978),Unknown,34353_20180308,2018-03-08,90.0,Routine - Unscheduled,34353_20180308_103144,Unapproved or unmaintained equipment or utensils,Low Risk,50.0,50.0,6.0,3.0,21.0
